"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Odds";"Odds";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Global"
"Brazil";"BRA";"Copa Rio";"24-06-2026 11:00";"NS";"São Gonçalo EC RJ";"";"";"Serrano RJ";"";"";"2.77";"2.75";"74";"70";"24";"37";"5";"56";"48";"0.9";"1.4";"62";"55";"20.4";"7.5";"8";"38";"50";"12";"20";"30";"30";"50";"50";"20";"30";"47";"50";"80";"70";"50";"80";"70";"0x0";"0x0";"21.5";"0.7";"1.1";"0.9";"1";"1.8";"47";"49";"";"";"10";"10";"14.3";"8.3";"9.3";"11.1";"7.2";"3.6";"3.4";"4.1";"3.1";"3.8";"3.2";"3.3";"2.6";"6.4";""
"Brazil";"BRA";"Copa Rio";"24-06-2026 14:45";"NS";"América RJ";"";"";"Goytacaz";"";"";"";"";"52";"66";"54";"48";"";"50";"57";"1.7";"1.8";"57";"62";"7.5";"8.1";"10";"50";"40";"10";"50";"50";"20";"30";"30";"20";"57";"60";"70";"80";"80";"70";"50";"50";"2x1";"1x1";"20.4";"1.6";"1.4";"1.5";"1.1";"2.8";"49";"56";"";"";"10";"10";"12";"11.4";"11.3";"6.1";"7.9";"4.3";"2";"5.2";"4.2";"2.4";"3.1";"2.7";"4.1";"6.2";""
"Brazil";"BRA";"Carioca A2";"24-06-2026 14:45";"NS";"América RJ";"";"";"CEAC / Araruama";"";"";"";"";"52";"52";"54";"27";"";"50";"47";"1.7";"0.5";"57";"46";"7.5";"9";"5";"20";"40";"40";"50";"10";"20";"20";"30";"70";"57";"17";"70";"30";"80";"80";"50";"90";"2x1";"1x0";"20.8";"1.6";"0.8";"1.5";"1.5";"2.7";"49";"49";"4";"12";"10";"10";"12";"7.2";"11.3";"11.1";"8";"4.3";"3.9";"5.2";"2.5";"2.4";"3.5";"2.7";"3.2";"5.9";"6"
"Brazil";"BRA";"Catarinense U20";"24-06-2026 15:00";"NS";"Brusque U20";"";"";"Nação U20";"";"";"";"";"7";"38";"31";"78";"";"45";"52";"0.1";"1";"93";"48";"8.2";"6";"5";"40";"40";"20";"0";"20";"10";"40";"90";"40";"3";"33";"10";"60";"90";"60";"100";"80";"1x2";"2x1";"24";"0.9";"2.3";"2.8";"1.9";"4";"43";"49";"";"";"10";"10";"7.4";"13.9";"14.6";"12";"10.5";"6.8";"5.6";"2.4";"6.3";"3.4";"4.2";"3.2";"3.2";"7";"7.2"
"Brazil";"BRA";"Maranhense 2";"24-06-2026 15:30";"NS";"Bacabal";"";"";"Tupan";"";"";"";"";"42";"38";"14";"24";"";"";"";"0.4";"0.5";"";"";"";"";"2";"0";"50";"50";"0";"10";"40";"20";"60";"70";"13";"17";"40";"30";"60";"80";"100";"90";"0x0";"3x0";"";"0.4";"0.7";"1.8";"1.9";"2.4";"";"";"6";"5";"10";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"Canada";"CAN";"PCSL";"24-06-2026 23:00";"NS";"Blues";"";"";"Khalsa";"";"";"";"";"52";"49";"75";"41";"";"";"";"2";"0.8";"";"";"";"";"5";"20";"40";"40";"60";"20";"20";"20";"20";"60";"67";"27";"80";"40";"80";"80";"40";"80";"3x1";"2x1";"";"2.2";"1.2";"1.5";"1.6";"3.2";"";"";"3";"4";"10";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"China";"CHN";"League Two";"24-06-2026 04:00";"NS";"Shanxi Chongde Ronghai";"";"";"Tai'an Tiankuang";"";"";"";"";"70";"77";"48";"31";"";"51";"55";"1.6";"1.5";"47";"51";"7.2";"10.9";"5";"20";"40";"40";"40";"40";"40";"30";"20";"30";"53";"50";"80";"70";"60";"70";"60";"60";"1x1";"1x2";"20.3";"1.4";"0.9";"1";"0.8";"2";"52";"55";"6";"2";"10";"10";"12";"14.1";"7.7";"6.8";"6.8";"2.7";"2.2";"4.3";"4.4";"1.7";"2.4";"2.7";"2.6";"4.7";"3.7"
"China";"CHN";"League Two";"24-06-2026 08:00";"NS";"Beijing BIT";"";"";"Shandong Taishan II";"";"";"";"";"66";"77";"27";"44";"";"34";"55";"0.9";"1.7";"34";"42";"6";"6.1";"5";"0";"80";"20";"10";"50";"60";"20";"30";"30";"30";"57";"70";"70";"40";"80";"90";"50";"1x1";"0x1";"20.8";"0.8";"1.3";"1.1";"0.8";"2";"40";"60";"12";"4";"10";"10";"6.2";"10.9";"15.9";"8.6";"6";"4.1";"2.2";"2.3";"3.3";"2";"1.5";"2.6";"2.4";"4.2";"3.7"
"China";"CHN";"League Two";"24-06-2026 08:30";"NS";"Jiangxi Lushan";"";"";"Ganzhou Ruishi";"";"";"";"";"80";"70";"58";"27";"";"52";"42";"1.9";"1.3";"48";"35";"4.6";"8.9";"3";"33";"33";"33";"60";"40";"10";"10";"30";"50";"63";"43";"70";"50";"90";"90";"40";"60";"0x2";"2x0";"17.5";"1.7";"0.8";"0.7";"1";"2.1";"53";"41";"4";"7";"10";"10";"9.2";"9.2";"7.5";"9.2";"5.8";"2.6";"2.3";"4";"2.8";"2.1";"2";"0.8";"1.4";"3.2";"3.7"
"China";"CHN";"League Two";"24-06-2026 08:30";"NS";"Shenzhen 2028";"";"";"Hangzhou Linping Wuyue";"";"";"";"";"56";"49";"58";"37";"";"54";"48";"1.9";"1.3";"50";"47";"5.3";"7.2";"";"";"";"";"60";"30";"10";"40";"30";"30";"63";"43";"70";"70";"90";"60";"40";"70";"2x1";"1x1";"21.1";"1.7";"1.1";"1.4";"1.6";"2.9";"53";"48";"5";"10";"10";"10";"11.6";"9.4";"10.3";"10.9";"7.2";"3.3";"4.4";"4.1";"2.5";"1.4";"1.6";"2.2";"2.3";"3.8";"3.7"
"China";"CHN";"League Two";"24-06-2026 08:30";"NS";"Wenzhou";"";"";"Wuhan Three Towns II";"";"";"";"";"56";"63";"17";"17";"";"46";"51";"0.7";"0.4";"38";"42";"13";"15.6";"3";"33";"0";"67";"10";"0";"40";"40";"50";"60";"23";"13";"50";"40";"60";"60";"90";"100";"1x1";"1x0";"19.8";"0.5";"0.5";"1.4";"1.2";"1.8";"48";"48";"11";"12";"10";"10";"9.3";"10.7";"10.8";"8.8";"6.6";"4.8";"3.1";"2.3";"3";"1.6";"1.8";"2";"2.1";"3.8";"3.7"
"China";"CHN";"League Two";"24-06-2026 09:00";"NS";"Chengdu Rongcheng II";"";"";"Guangzhou Dandelion";"";"";"";"";"60";"56";"24";"31";"";"52";"60";"0.9";"0.9";"52";"66";"8.6";"8.1";"3";"33";"67";"0";"20";"20";"30";"30";"50";"50";"30";"30";"50";"50";"70";"70";"80";"80";"0x2";"0x0";"19.1";"0.7";"0.9";"1.3";"1.4";"2.2";"55";"55";"9";"6";"10";"10";"7.6";"9.2";"11.1";"10.3";"7";"4.2";"4.4";"2.6";"2.9";"1.5";"1.2";"1.1";"1.4";"2.6";"3.7"
"Finland";"FIN";"Kolmonen - Eastern Group";"24-06-2026 12:30";"NS";"PeKa";"";"";"MP II";"";"";"";"";"46";"35";"100";"61";"";"62";"55";"2.2";"0.9";"64";"66";"4.8";"13.1";"6";"33";"67";"0";"70";"30";"10";"0";"20";"70";"73";"30";"80";"30";"90";"100";"30";"70";"0x5";"2x0";"32.3";"3.2";"1.8";"1.7";"2";"4.4";"58";"60";"1";"9";"10";"10";"15.5";"23.6";"7.2";"18.2";"13.5";"3.5";"5.4";"9.5";"8.6";"1.2";"1.5";"1.5";"1.3";"2.8";"2.7"
