"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global"
"Gambia";"GAM";"GFF First Division";"11-06-2026 13:30";"FT";"Falcons";"1";"2";"Fortune";"1";"2";"";"";"";"5";"0";"0";"0";"80";"100";"30";"70";"20";"20";"0.2";"0.1";"20.8";"9.7";"11";"7.9";"12.9";"5.2";"1.9";"3";"1.8";"3.8";"0.7";"2.1";"0.7";"1";"2.2";"4";"6";"3.6";"4.7";"9.1"
"Gambia";"GAM";"GFF First Division";"11-06-2026 13:30";"FT";"Hart Acedemy";"1";"1";"Samger";"0";"0";"";"";"";"10";"10";"20";"0";"85";"90";"56";"40";"33";"40";"0.3";"0.1";"";"";"7.6";"";"6.6";"";"";"1.8";"";"1.5";"";"0.1";"";"1.1";"";"";"2.1";"";"4";""
"Gambia";"GAM";"GFF First Division";"11-06-2026 13:30";"FT";"BST Galaxy";"2";"2";"Steve Biko";"1";"1";"";"";"";"15";"0";"0";"0";"75";"100";"50";"20";"30";"70";"0.1";"0";"23.4";"13.4";"11.6";"9.9";"12";"5";"3.2";"2.5";"2.4";"2";"1.2";"0.4";"1.4";"1";"2";"4.5";"4.9";"5.2";"5.4";"10"
"Republic of Ireland";"IRL";"Leinster Senior League";"11-06-2026 16:00";"DELAYED";"Inchicore Athletic";"0";"0";"Tolka Rovers";"0";"0";"";"";"";"35";"25";"40";"0";"40";"75";"78";"33";"22";"67";"0.2";"0.1";"25.8";"15.1";"11.6";"13.6";"11.4";"12.8";"7.4";"6.1";"6";"6";"2.1";"3";"3.6";"3.3";"6";"4.9";"5.3";"7.1";"5.6";"11.4"
"Iceland";"ISL";"4. Deild";"11-06-2026 16:15";"FT";"Vaengir Jupiters";"3";"1";"Álafoss";"3";"0";"";"";"";"50";"16";"0";"0";"0";"84";"33";"";"67";"";"0.7";"";"";"9.7";"";"13.7";"";"";"4";"";"7.7";"";"3.3";"";"1.3";"";"";"6";"";"3";"";""
"Iceland";"ISL";"4. Deild";"11-06-2026 16:15";"FT";"Hamar";"3";"0";"Árborg";"2";"0";"";"";"";"66";"50";"100";"33";"16";"50";"";"67";"";"0";"";"0.3";"";"";"9";"";"13";"";"";"5.3";"";"5.3";"";"1.3";"";"3";"";"";"4.3";"";"3.7";""
"Iceland";"ISL";"4. Deild";"11-06-2026 17:00";"FT";"Elliði";"6";"2";"IH Hafnarfjordur";"4";"1";"";"";"";"58";"58";"50";"67";"25";"42";"0";"";"100";"";"0.5";"";"";"6";"";"9";"";"";"3";"";"5";"";"3";"";"1.5";"";"";"6.5";"";"3.5";"";""
"Iceland";"ISL";"3. Deild";"11-06-2026 17:00";"FT";"Ýmir";"2";"0";"KA Asvellir";"1";"0";"";"";"";"75";"34";"50";"67";"0";"66";"50";"0";"50";"100";"0";"0";"28.2";"16.5";"17.5";"8";"14.5";"14.2";"6.5";"9.5";"5.5";"7";"2.5";"3.5";"1";"2.5";"4.8";"2.5";"7.5";"3";"6.5";"9.8"
"Iceland";"ISL";"U19 Cup";"11-06-2026 12:00";"DELAYED";"Thór / THK / V / M U19";"";"";"Thróttur / SR U19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Iceland";"ISL";"U19 Cup";"11-06-2026 14:00";"AWAITING_UPDATES";"FH / ÍH U19";"";"";"ÍBV / KFS U19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Iceland";"ISL";"U19 Cup";"11-06-2026 16:00";"AWAITING_UPDATES";"Haukar / KÁ U19";"";"";"Fylkir / Ellidi U19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Iceland";"ISL";"U19 Cup";"11-06-2026 16:00";"FT";"Njar. / Grin. / Víð. U19";"1";"4";"Keflavík / R / H U19";"0";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Iceland";"ISL";"U19 Cup";"11-06-2026 16:00";"FT";"HK / Ýmir U19";"1";"3";"KR / KV U19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Iceland";"ISL";"U19 League C";"11-06-2026 15:00";"FT";"Selfoss/Árborg/Stokk U19";"6";"2";"Valur / KH / Fálkar U19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Italy";"ITA";"U18 Serie A/B";"11-06-2026 12:30";"AWAITING_UPDATES";"Internazionale U18";"";"";"Torino U18";"";"";"";"";"";"55";"40";"70";"0";"25";"60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Italy";"ITA";"U18 Serie A/B";"11-06-2026 15:30";"AWAITING_UPDATES";"Roma U18";"";"";"Bologna U18";"";"";"";"";"";"50";"40";"60";"30";"30";"60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Kazakhstan";"KAZ";"First Division";"11-06-2026 09:00";"FT";"Taraz";"1";"2";"Astana II";"0";"2";"";"";"";"16";"0";"50";"0";"16";"100";"100";"33";"0";"67";"0.2";"0";"13.8";"9.7";"6";"5";"7";"3.8";"3";"1.3";"1.3";"2";"0.7";"2.5";"0.7";"1";"2.4";"1.3";"6";"1.3";"3.5";"6.1"
"Kazakhstan";"KAZ";"First Division";"11-06-2026 09:00";"FT";"Yelimay II";"0";"1";"Jaiyq";"0";"1";"";"";"";"34";"16";"33";"0";"54";"84";"0";"50";"100";"50";"0.3";"0";"";"";"4.5";"";"7";"";"";"1.2";"";"1.2";"";"1.3";"";"1.3";"";"";"4.3";"";"3.3";""
"Kazakhstan";"KAZ";"First Division";"11-06-2026 10:00";"FT";"Aktobe Jas";"1";"4";"Akademiya Ontustik";"0";"1";"";"";"";"46";"16";"67";"0";"29";"84";"67";"25";"33";"75";"0";"0.2";"";"6.5";"";"6.5";"";"";"2.5";"";"1";"";"0.5";"";"0.5";"";"";"1.5";"";"1.5";"";""
"Kyrgyzstan";"KGZ";"Top Liga";"11-06-2026 12:00";"FT";"Abdish-Ata";"2";"0";"Neftchi Kochkor-Ata";"0";"0";"";"";"";"18";"10";"0";"20";"26";"90";"50";"60";"50";"40";"0.2";"0";"5.2";"4";"1";"4";"1.3";"2.9";"2";"1";"1.5";"1.3";"0";"0.3";"1.5";"0";"0.9";"0";"0.3";"2";"0";"1.2"
