"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global"
"Paraguay";"PAR";"Division Intermedia";"08-06-2026 19:30";"FT";"3 de Noviembre";"2";"3";"General Caballero JLM";"1";"1";"";"";"";"22";"0";"0";"0";"65";"100";"60";"25";"20";"50";"0.2";"0";"18.3";"6";"9.8";"10.6";"10.2";"5.6";"1.4";"3";"2.6";"4.2";"1";"2.8";"0.8";"2";"3.3";"5";"6.8";"2.6";"4.8";"9.6"
"Sweden";"SWE";"Ettan: North";"08-06-2026 14:00";"FT";"Stockholm Internazionale";"4";"1";"Vasalund";"1";"1";"";"";"";"30";"10";"20";"20";"30";"90";"40";"60";"60";"40";"0";"0";"20.9";"11.8";"9.6";"7.2";"13.2";"9.1";"4.6";"4.2";"3.2";"6.2";"2";"2.2";"2";"2.2";"4.2";"3.8";"5.2";"5.6";"5.4";"10"
"Sweden";"SWE";"Ettan: North";"08-06-2026 14:30";"FT";"Järfälla";"1";"6";"Stocksund";"1";"3";"";"";"";"38";"12";"25";"0";"50";"88";"50";"25";"50";"75";"0.2";"0";"18";"10.5";"7";"6.8";"11.8";"8.2";"5.5";"3.5";"3";"4.5";"1.8";"2.2";"2.8";"2.5";"4.6";"2.8";"5";"4.2";"3.2";"7.6"
"Sweden";"SWE";"Ettan: South";"08-06-2026 14:00";"FT";"Ängelholm";"1";"1";"Olympic";"1";"0";"";"";"";"40";"10";"0";"20";"40";"90";"20";"40";"60";"60";"0.2";"0.2";"21";"11.4";"9.8";"7.8";"13";"8.3";"3.8";"3.6";"4";"5.2";"1.8";"3.2";"0.8";"1.8";"3.8";"3.8";"6.8";"3.8";"4.8";"9.6"
"Sweden";"SWE";"Ettan: South";"08-06-2026 14:30";"FT";"Utsikten";"0";"1";"Rosengård";"0";"1";"";"";"";"30";"10";"0";"20";"40";"90";"0";"80";"80";"20";"0";"0.2";"16.5";"6.2";"10.4";"10.6";"5.8";"7";"2.2";"3.6";"5.2";"3";"2.2";"1.4";"1.4";"1";"3";"4.6";"2";"3";"4.8";"7.2"
"Sweden";"SWE";"Division 2: Norrland";"08-06-2026 14:00";"FT";"Täfteå";"3";"0";"Umeå FC Akademi";"2";"0";"";"";"";"50";"50";"50";"50";"38";"50";"50";"75";"25";"25";"0";"0";"";"";"15.5";"";"8.5";"";"";"7.5";"";"3.5";"";"1";"";"3";"";"";"3.5";"";"6.5";""
"United States";"USA";"USL League Two";"08-06-2026 00:00";"FT";"AMSG";"0";"1";"Stars FC";"0";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"United States";"USA";"USL League Two";"08-06-2026 16:00";"FT";"Colorado Storm";"2";"0";"Flatirons Rush";"0";"0";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"United States";"USA";"USL League Two";"08-06-2026 20:00";"FT";"Brave";"0";"0";"Sporting JAX II";"0";"0";"";"";"";"";"";"";"0";"";"";"";"50";"";"0";"";"0";"";"";"3.5";"";"10.5";"";"";"1.5";"";"3.5";"";"2.5";"";"1";"";"";"4";"";"2.5";""
"United States";"USA";"NPSL";"08-06-2026 21:00";"FT";"Milwaukee Torrent";"2";"3";"Wisconsin Conquerors";"0";"2";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"United States";"USA";"WPSL";"08-06-2026 20:00";"FT";"Bay City Reign W";"0";"0";"West Florida Academy W";"0";"0";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"United States";"USA";"WPSL";"08-06-2026 22:00";"FT";"La Roca W";"1";"0";"Griffins W";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"United States";"USA";"WPSL";"08-06-2026 23:00";"FT";"Napa Valley 1839";"1";"6";"California Storm W";"";"";"";"";"";"0";"0";"50";"50";"50";"100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"United States";"USA";"MLS Next Pro";"08-06-2026 16:00";"FT";"Columbus Crew II";"2";"1";"Connecticut United";"0";"0";"";"";"";"54";"16";"33";"29";"24";"84";"50";"71";"33";"29";"0";"0.1";"26.6";"15";"14.6";"13.3";"10.4";"10.1";"5.7";"6.4";"4.5";"3.7";"2.7";"2.1";"2.3";"3.3";"5.2";"6.7";"5.4";"6.8";"6.9";"12.9"
"United States";"USA";"MLS Next Pro";"08-06-2026 21:00";"FT";"Minnesota United II";"4";"3";"Sporting Kansas City II";"2";"1";"";"";"";"50";"8";"0";"33";"50";"92";"60";"17";"20";"83";"0";"0";"26.1";"15";"15.3";"7.2";"14.7";"9.9";"5";"5.2";"2.8";"6.8";"1.4";"3.8";"1.6";"1.7";"4.2";"2.6";"8.8";"6.8";"4.7";"11.4"
"United States";"USA";"USL W League";"08-06-2026 13:00";"FT";"Colorado Storm W";"8";"1";"Flatirons II W";"3";"0";"";"";"";"58";"34";"100";"50";"0";"66";"33";"";"0";"";"0.3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"United States";"USA";"USL W League";"08-06-2026 20:30";"FT";"Paisley Athletic W";"4";"3";"Cedar Stars W";"1";"1";"";"";"";"100";"84";"67";"100";"0";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"United States";"USA";"USL W League";"08-06-2026 20:30";"CANCELLED";"Tormenta W";"";"";"United Bantams W";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"United States";"USA";"USL W League";"08-06-2026 21:00";"FT";"RKC W";"2";"2";"Edgewater Castle W";"0";"1";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Uzbekistan";"UZB";"Pro Liga";"08-06-2026 10:00";"FT";"Jayxun";"1";"4";"Aral";"0";"3";"";"";"";"25";"0";"0";"25";"65";"100";"40";"100";"40";"0";"0";"0.2";"18.1";"6.7";"11.5";"9";"9";"6.5";"2.3";"4";"2.7";"4";"1";"";"0.7";"";"";"5";"";"2.7";"";""
"Uzbekistan";"UZB";"Pro Liga";"08-06-2026 10:00";"FT";"Pakhtakor II";"0";"3";"Respublika";"0";"0";"";"";"";"10";"10";"0";"0";"50";"90";"0";"60";"100";"40";"0";"0.2";"17.2";"8.2";"6.7";"7.5";"12";"6.4";"3.2";"2.7";"3";"4";"1.3";"1.3";"1.3";"1.7";"2.8";"3.3";"4.7";"4";"2.3";"7.2"
