"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Odds";"Odds";"Odds";"Odds";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global"
"Chile";"CHI";"Primera B";"08-06-2026 20:30";"FT";"Deportes Temuco";"0";"1";"Curicó Unido";"0";"1";"1.85";"3.89";"";"";"60";"37";"10";"10";"4";"12";"49";"49";"27";"14.3";"12.4";"14.7";"12.6";"11.4";"2.1";"3";"2";"3.3";"5.2";"5.5";"2.1";"2.8";"1.8";"3.3";"5";"5.2";"0";"0.2";"0.2";"0";"0.2";"0.3";"85";"80";"65";"50";"35";"20";"15";"50"
"Chile";"CHI";"Primera B";"08-06-2026 20:30";"FT";"Unión Española";"2";"2";"Unión San Felipe";"1";"1";"1.69";"4.10";"";"";"60";"37";"10";"10";"11";"13";"50";"48";"23.5";"9.2";"10.3";"11.7";"15.9";"9.6";"2.7";"2.2";"2.4";"1.7";"4.5";"5.5";"2.6";"1.9";"2.3";"1.6";"4.2";"5.2";"0.1";"0.3";"0.1";"0.1";"0.3";"0.3";"70";"65";"60";"60";"40";"35";"30";"40"
"Cameroon";"CMR";"Elite One";"08-06-2026 11:30";"FT";"Fauve Azur Elite";"2";"3";"Aigle Royal de Moungo";"1";"1";"";"";"";"";"13";"47";"10";"10";"13";"12";"48";"50";"19.9";"8.8";"10.4";"10.7";"10";"7.4";"2";"1.3";"0.6";"1.9";"2.9";"3.8";"1.9";"1.2";"0.6";"1.8";"2.7";"3.6";"0.1";"0.1";"0";"0.1";"0.2";"0.2";"47";"31";"16";"84";"84";"69";"53";"16"
"Cameroon";"CMR";"Elite Two";"08-06-2026 09:30";"FT";"Bamboutos";"3";"0";"Union Douala";"0";"0";"";"";"";"";"47";"33";"10";"10";"1";"2";"57";"48";"15.2";"7";"11";"6";"6.5";"5.2";"1.3";"2.7";"2";"2.3";"4.2";"3.7";"1.3";"2.3";"2";"2.3";"4";"3.3";"0";"0.3";"0";"0";"0.2";"0.4";"66";"50";"50";"50";"50";"50";"34";"50"
"Cameroon";"CMR";"Elite Two";"08-06-2026 09:30";"FT";"FAP";"1";"2";"Yafoot";"1";"1";"";"";"";"";"23";"47";"10";"10";"1";"2";"52";"47";"";"8.2";"";"9.5";"";"";"1.8";"2";"2.2";"3";"4.5";"3.7";"1.8";"2";"2";"3";"4.4";"3.3";"0";"0";"0.2";"0";"0.1";"0.4";"88";"75";"50";"50";"50";"25";"12";"50"
"Cameroon";"CMR";"Elite Two";"08-06-2026 11:30";"FT";"Ngok Etunja";"0";"3";"Tonnerre";"0";"1";"";"";"";"";"37";"53";"10";"10";"1";"2";"48";"46";"";"";"4";"";"12.5";"";"2";"";"1.8";"";"";"3.7";"1.8";"";"1.8";"";"";"3.3";"0.2";"";"0";"";"";"0.4";"";"";"";"";"";"";"";""
"Cameroon";"CMR";"Elite Two";"08-06-2026 11:30";"FT";"Sable Batie";"1";"1";"Bafmeng United";"1";"1";"";"";"";"";"60";"47";"10";"10";"1";"2";"";"47";"";"";"7";"";"7.3";"";"";"2";"";"1.3";"";"3.7";"";"1.7";"";"1";"";"3.3";"";"0.3";"";"0.3";"";"0.4";"";"";"";"";"";"";"";""
"Colombia";"COL";"Liga BetPlay";"08-06-2026 19:00";"FT";"Atlético Nacional";"1";"0";"Junior FC";"0";"0";"1.46";"6.02";"";"";"70";"50";"10";"10";"1";"2";"55";"50";"29.6";"15.7";"14.6";"14.3";"14.7";"10.4";"2.2";"3.2";"2.4";"2.2";"5";"5.8";"2";"3";"2.3";"2.2";"4.8";"5.3";"0.2";"0.2";"0.1";"0";"0.2";"0.4";"95";"70";"55";"70";"45";"30";"5";"30"
"Egypt";"EGY";"League Cup";"08-06-2026 11:00";"FT";"ZED FC";"0";"2";"Wadi Degla";"0";"0";"2.77";"2.63";"";"";"53";"53";"10";"10";"";"";"46";"56";"20.6";"9.4";"10.7";"12.4";"8.8";"7.3";"2";"2.4";"2";"1.9";"4.2";"4.2";"1.8";"2.3";"1.7";"1.8";"3.8";"4";"0.2";"0.1";"0.3";"0.1";"0.4";"0.2";"80";"70";"40";"80";"60";"30";"20";"20"
"Egypt";"EGY";"League Cup";"08-06-2026 14:30";"FT";"ENPPI";"0";"3";"Al Masry";"0";"1";"3.58";"2.36";"";"";"43";"50";"10";"10";"";"";"47";"54";"20.4";"7.9";"11.5";"12.5";"8.9";"7.2";"2.7";"1.6";"2.1";"1.9";"4.2";"4.2";"2.7";"1.5";"2";"1.6";"3.9";"4";"0";"0.1";"0.1";"0.3";"0.2";"0.2";"70";"60";"50";"60";"50";"40";"30";"40"
"Estonia";"EST";"Small Cup";"08-06-2026 13:00";"FT";"Vändra";"6";"1";"Pelgu City";"";"";"";"";"";"";"80";"17";"10";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"0";"";"";"";"";"";"0";"";"";"";"";"";"";"";""
"Estonia";"EST";"Small Cup";"08-06-2026 13:30";"AWARDED";"FC Kohvile";"";"";"Raasiku Joker";"";"";"";"";"";"";"53";"90";"10";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"0";"";"";"";"";"";"0";"";"";"";"";"";"";"";""
"Finland";"FIN";"Ykkösliiga";"08-06-2026 12:30";"FT";"KTP";"0";"2";"Haka";"0";"1";"2.25";"2.79";"";"";"73";"57";"10";"10";"1";"4";"51";"56";"21";"13.5";"12.4";"6.5";"9.7";"9.8";"1.9";"2.3";"2";"2.1";"4.2";"3.6";"1.8";"2.1";"2";"2.1";"4";"3.5";"0.1";"0.2";"0";"0";"0.2";"0.2";"80";"65";"35";"70";"65";"35";"20";"30"
"Finland";"FIN";"Kakkonen";"08-06-2026 13:00";"FT";"Kiffen";"2";"0";"PuiU Helsinki";"2";"0";"1.56";"4.42";"";"";"47";"30";"10";"10";"6";"9";"49";"50";"25.2";"14.4";"8.6";"15.4";"12";"12.6";"2.2";"2.7";"1.7";"1.8";"4.2";"4.3";"2.2";"2.6";"1.7";"1.8";"4.1";"4.1";"0";"0.1";"0";"0";"0";"0.2";"79";"58";"48";"79";"52";"42";"21";"21"
"Iceland";"ISL";"U19 League C";"08-06-2026 15:00";"FT";"Breiða / Augna U19 II";"5";"0";"Valur / KH / Fálkar U19";"";"";"";"";"";"";"60";"53";"10";"10";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"0";"";"";"";"";"";"0";"";"";"";"";"";"";"";""
"Lithuania";"LTU";"1. Lyga";"08-06-2026 13:00";"FT";"Dainava";"1";"0";"Garliava";"0";"0";"2.05";"2.93";"";"";"67";"60";"10";"10";"9";"6";"51";"53";"21";"13.8";"11.6";"7.2";"9.5";"9";"2.6";"1.2";"2.5";"2";"4.2";"3.5";"2.5";"1.2";"2.4";"1.9";"4";"3.4";"0.1";"0";"0.1";"0.1";"0.2";"0.1";"78";"60";"48";"76";"52";"40";"22";"24"
"Paraguay";"PAR";"Division Intermedia";"08-06-2026 17:00";"FT";"Encarnación";"2";"3";"Sol de América";"0";"1";"2.23";"2.69";"";"";"27";"47";"10";"10";"14";"9";"50";"54";"20.9";"11.1";"11.8";"10.6";"8.3";"9.4";"3.4";"1.6";"3.5";"2.4";"5.4";"5.7";"2.9";"1.6";"3.3";"2.3";"5";"5.3";"0.5";"0";"0.2";"0.1";"0.4";"0.3";"80";"75";"60";"50";"40";"25";"20";"50"
"Paraguay";"PAR";"Division Intermedia";"08-06-2026 19:30";"FT";"3 de Noviembre";"2";"3";"General Caballero JLM";"1";"1";"3.38";"2.00";"";"";"17";"70";"10";"10";"16";"3";"47";"53";"21.4";"8.3";"13";"10.6";"11";"8.8";"2.7";"2.3";"3.4";"2.7";"5.6";"5.7";"2.5";"2.2";"3.2";"2.7";"5.3";"5.3";"0.2";"0.1";"0.2";"0";"0.2";"0.3";"80";"80";"65";"45";"35";"20";"20";"55"
