"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Odds";"Odds";"Odds";"Global";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Global";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Global"
"Brazil";"BRA";"Torneio Otavio Pinto Guimaraes U20";"08-06-2026 14:45";"FT_PEN";"Pérolas Negras U20";"0";"0";"Paduano U20";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Canada";"CAN";"PCSL";"08-06-2026 23:00";"FT";"Blues";"3";"2";"AFA";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"0";"";"50";"";"";"";"0";"";"0";"";"2";"";"1";"";"3.5";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"100";"";"100";""
"Chile";"CHI";"Primera B";"08-06-2026 20:30";"FT";"Deportes Temuco";"0";"1";"Curicó Unido";"0";"1";"";"1.85";"3.89";"69";"1.5";"0.6";"3";"68";"34";"63";"32";"1";"0.8";"0.6";"8.5";"11.6";"44";"40";"83";"0";"17";"14";"17";"29";"33";"43";"";"";"50";"19";"33";"0";"6";"7";"2";"1";"1.2";"2.1";"3.2";"1";"0.1";"0.2";"1";"1.2";"2.9";"93";"84";"46";"54";"50";"29";"62";"62";"84";"83";"86";"83";"71";""
"Chile";"CHI";"Primera B";"08-06-2026 20:30";"FT";"Unión Española";"2";"2";"Unión San Felipe";"1";"1";"";"1.69";"4.10";"43";"2.3";"0.4";"3";"58";"20";"80";"0";"1";"0.6";"0.6";"5.9";"14.5";"43";"34";"57";"14";"43";"0";"0";"71";"43";"57";"";"";"76";"14";"71";"14";"7";"7";"1.7";"0.6";"0.7";"3";"3";"0.7";"0.3";"0.3";"1.6";"1.4";"2.9";"100";"100";"57";"86";"71";"14";"72";"50";"93";"57";"100";"100";"29";""
"Cameroon";"CMR";"Elite One";"08-06-2026 11:30";"FT";"Fauve Azur Elite";"2";"3";"Aigle Royal de Moungo";"1";"1";"";"";"";"35";"0.8";"1.2";"2";"17";"34";"56";"49";"";"0.5";"0.6";"17.4";"8.3";"29";"35";"40";"33";"30";"30";"60";"30";"50";"50";"";"";"27";"40";"20";"30";"10";"10";"0.5";"1";"1.4";"1.6";"2.2";"0.2";"0.5";"0.8";"0.7";"1.1";"2.5";"90";"60";"40";"65";"10";"30";"70";"65";"90";"70";"70";"40";"70";""
"Cameroon";"CMR";"Elite Two";"08-06-2026 09:30";"FT";"Bamboutos";"3";"0";"Union Douala";"0";"0";"";"";"";"50";"2";"0.5";"3";"34";"37";"88";"4";"";"0.8";"0.5";"";"";"";"";"100";"33";"50";"12";"17";"50";"50";"62";"";"";"67";"17";"50";"12";"6";"8";"1";"1.1";"0.5";"2.9";"2.8";"0.5";"0.3";"0.3";"1.3";"1.1";"2.4";"86";"62";"46";"54";"17";"25";"69";"55";"86";"50";"88";"83";"50";""
"Cameroon";"CMR";"Elite Two";"08-06-2026 09:30";"FT";"FAP";"1";"2";"Yafoot";"1";"1";"";"";"";"44";"1.4";"0.7";"2";"41";"24";"70";"63";"";"";"";"";"";"";"";"67";"";"50";"33";"38";"33";"38";"50";"";"";"46";"22";"38";"17";"8";"6";"1.2";"0.7";"1";"1.2";"2";"0.4";"0";"0.1";"0.7";"0.6";"2.4";"79";"50";"44";"44";"38";"0";"88";"86";"100";"50";"67";"62";"67";""
"Cameroon";"CMR";"Elite Two";"08-06-2026 11:30";"FT";"Ngok Etunja";"0";"3";"Tonnerre";"0";"1";"";"";"";"59";"1.6";"0.4";"2";"54";"24";"66";"49";"";"0.7";"";"";"";"";"";"0";"";"25";"14";"12";"43";"75";"43";"";"";"54";"14";"50";"14";"8";"7";"1.6";"0.7";"1.1";"1.6";"2.6";"0.8";"0.1";"0.4";"0.3";"0.8";"2.4";"94";"66";"59";"46";"38";"14";"80";"80";"94";"75";"86";"88";"57";""
"Cameroon";"CMR";"Elite Two";"08-06-2026 11:30";"FT";"Sable Batie";"1";"1";"Bafmeng United";"1";"1";"";"";"";"36";"2.6";"0.6";"2";"78";"14";"80";"66";"";"";"";"";"";"";"";"";"0";"43";"14";"14";"71";"57";"43";"";"";"86";"19";"86";"14";"7";"7";"2.3";"0.4";"0.7";"1.1";"2.3";"1";"0.3";"0.5";"0.3";"1";"2.4";"93";"57";"43";"58";"57";"14";"78";"75";"84";"57";"86";"86";"29";""
"Colombia";"COL";"Liga BetPlay";"08-06-2026 19:00";"FT";"Atlético Nacional";"1";"0";"Junior FC";"0";"0";"";"1.46";"6.02";"50";"2.8";"1.7";"3";"95";"48";"88";"70";"1";"0.4";"0.4";"5.5";"5.8";"52";"46";"70";"40";"50";"40";"10";"10";"30";"40";"";"";"93";"57";"90";"50";"10";"10";"2.8";"1.4";"0.5";"1";"2.8";"0.9";"0.9";"0.3";"0.6";"1.4";"2.5";"95";"85";"55";"80";"90";"30";"80";"55";"90";"50";"60";"90";"90";""
"Egypt";"EGY";"League Cup";"08-06-2026 11:00";"FT";"ZED FC";"0";"2";"Wadi Degla";"0";"0";"";"2.77";"2.63";"40";"2";"1.6";"2";"34";"54";"100";"70";"5";"0.4";"0.5";"6.4";"6.8";"56";"37";"20";"80";"80";"40";"20";"20";"40";"80";"";"";"67";"53";"60";"40";"5";"5";"1";"1.6";"0.4";"1";"2";"0.6";"0.6";"0";"0.8";"1";"2.3";"80";"60";"50";"60";"20";"60";"90";"70";"90";"20";"60";"80";"80";""
"Egypt";"EGY";"League Cup";"08-06-2026 14:30";"FT";"ENPPI";"0";"3";"Al Masry";"0";"1";"";"3.58";"2.36";"20";"1.6";"1.6";"2";"27";"27";"100";"100";"5";"0.6";"0.7";"10.5";"16.8";"33";"31";"60";"100";"60";"60";"60";"40";"40";"40";"";"";"53";"53";"40";"40";"5";"5";"0.8";"0.8";"0.4";"0.4";"1.2";"0.2";"0.4";"0.2";"0";"0.4";"2.3";"70";"40";"10";"40";"40";"20";"100";"100";"100";"40";"40";"40";"60";""
"Estonia";"EST";"Small Cup";"08-06-2026 13:00";"FT";"Vändra";"6";"1";"Pelgu City";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Estonia";"EST";"Small Cup";"08-06-2026 13:30";"AWARDED";"FC Kohvile";"";"";"Raasiku Joker";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Finland";"FIN";"Ykkösliiga";"08-06-2026 12:30";"FT";"KTP";"0";"2";"Haka";"0";"1";"1.18";"2.25";"2.79";"16";"3";"1.3";"2";"44";"10";"100";"100";"5";"0.8";"0.7";"10.5";"31";"44";"43";"67";"100";"67";"67";"0";"67";"33";"67";"";"";"100";"44";"100";"33";"3";"3";"1.3";"0.3";"0.3";"0.3";"1.2";"0.3";"0";"0";"0.3";"0.3";"2.2";"84";"16";"16";"33";"33";"0";"100";"100";"100";"33";"33";"100";"33";""
"Finland";"FIN";"Kakkonen";"08-06-2026 13:00";"FT";"Kiffen";"2";"0";"PuiU Helsinki";"2";"0";"";"1.56";"4.42";"58";"2";"1";"4";"78";"34";"35";"0";"1";"0.8";"0.6";"6";"6.8";"36";"41";"33";"75";"0";"25";"33";"50";"33";"75";"";"";"67";"33";"67";"25";"3";"4";"2.3";"1";"2";"3";"4.2";"0.7";"0.2";"1";"2.5";"2.2";"3.7";"88";"88";"88";"88";"67";"25";"12";"46";"58";"100";"75";"67";"50";""
